Feature 1: Aromatic_5,Feature 2: Charged_5,Feature 3: Surrounding hydrophobicity,Feature 4: Sidechain_Accessibility,Feature 5: Mainchain_Accessibility,Feature 6: Binres_intramolecular_Hbond_Donor,Feature 7: Binres_intramolecular_Hbond_Acceptor,Feature 8: Binres_intramolecular_Hbond_count,Feature 9: Torsional Free Energy (kcal/mol),Feature 10: MW,Feature 11: miLogP,Feature 12: TPSA,Feature 13: n_ON,Feature 14: volume,-ï¿½G (kcal/mol)
2,2,77.08,4.301073,5.775858,7,5,11,1.19,342.3,-4.45,189.53,11,283.93,-5.11
2,2,88.06,5.395958,5.675266,8,8,11,1.49,383.35,-4.58,198.4,12,323.86,-5.74
2,2,88.25,4.768555,5.794442,10,10,14,1.19,342.3,-4.45,189.53,11,283.93,-3.71
2,2,88.25,4.788144,5.790467,11,10,15,1.79,422.36,-5.41,232.9,14,324.35,-3.89
2,3,111.73,6.390477,7.518328,12,10,15,1.19,342.3,-4.45,189.53,11,283.93,-5.35
2,3,111.73,6.563546,7.84878,14,12,19,2.39,342.3,-4.45,189.53,11,283.93,-5.61
2,2,113.37,5.544589,6.392872,8,8,12,1.19,342.3,-4.3,189.53,11,283.93,-3.99
0,4,120.34,4.83662,7.456856,4,8,10,3.28,611.53,-6.47,334.84,21,433.79,-6.38
0,5,120.64,4.692505,7.543307,7,6,10,3.28,691.59,-6.65,378.21,24,474.21,-6.84
2,5,123.58,6.4304,7.881355,15,14,20,1.49,367.35,-4.12,178.17,11,315.81,-5.9
2,4,124.1,6.164092,7.240983,12,12,14,1.19,342.3,-4.45,189.53,11,283.93,-5.55
4,5,134.67,6.674049,9.731644,16,16,23,0.3,180.16,-2.64,110.37,6,151.81,-4.96
2,2,140.75,5.339861,8.759669,7,12,15,1.19,326.3,-3.52,158.3,10,276.61,-5.05
3,2,147.74,6.250868,10.010069,14,13,16,1.19,342.3,-4.45,189.53,11,283.93,-3.35
4,2,194.48,8.633137,12.237725,14,16,24,3.88,582.55,-2.71,226.48,15,497.27,-5.69
4,8,216.54,10.008566,15.494277,24,18,34,1.19,342.3,-4.45,189.53,11,283.93,-5.46
4,6,225.78,9.569114,12.717854,22,19,31,1.79,422.36,-5.41,232.9,14,324.35,-4.49
4,7,243.24,15.200348,18.242631,17,19,29,1.19,354.26,-4.29,203.44,12,280.25,-4.78
2,9,261.35,14.991388,20.146128,20,25,35,1.49,372.39,-3.41,169.3,10,310.6,-5.4
4,5,370.72,13.837404,20.897596,12,23,31,2.68,559.32,-3.41,291.54,19,416.5,-4.64